time=11.46,T1=6.4,H1=47.8,T2=23.4,H2=29.4,V=4.13
time=11.51,T1=6.4,H1=47.8,T2=23.4,H2=29.5,V=4.13
11.55,T1=6.3,H1=47.7,T2=23.4,H2=29.5,V=4.13
time=11.59,T1=6.4,H1=47.8,T2=23.4,H2=29.5,V=4.13
time=11.64,T1=6.4,H1=47.8,T2=23.3,H2=29.4,V=4.13
time=11.68,T1=6.4,H1=47.8,T2=23.4,H2=29.5,V=4.13
time=11.73,T1=6.4,H1=47.8,T2=23.4,H2=29.5,V=4.13
11.77,T1=6.4,H1=47.7,T2=23.3,H2=29.4,V=4.13
time=11.81,T1=6.5,H1=47.8,T2=23.3,H2=29.5,V=4.13
time=11.86,T1=6.3,H1=47.6,T2=23.4,H2=29.6,V=4.13
time=11.90,T1=6.4,H1=47.7,T2=23.3,H2=29.5,V=4.13
time=11.99,T1=6.4,H1=47.7,T2=23.3,H2=29.5,V=4.13
time=12.03,T1=6.5,H1=47.8,T2=23.3,H2=29.6,V=4.13
time=12.08,T1=6.4,H1=47.7,T2=23.3,H2=29.5,V=4.13
time=12.12,T1=6.5,H1=47.8,T2=23.3,H2=29.5,V=4.13
time=12.17,T1=6.3,H1=47.6,T2=23.3,H2=29.6,V=4.13
time=12.21,T1=6.4,H1=47.7,T2=23.3,H2=29.6,V=4.13
time=12.25,T1=6.4,H1=47.7,T2=23.3,H2=29.6,V=4.13
time=12.30,T1=6.3,H1=47.6,T2=23.3,H2=29.6,V=4.13
time=12.34,T1=6.4,H1=47.7,T2=23.3,H2=29.6,V=4.13
time=12.39,T1=6.5,H1=47.8,T2=23.3,H2=29.6,V=4.13
time=12.43,T1=6.3,H1=47.6,T2=23.3,H2=29.6,V=4.13
time=12.47,T1=6.3,H1=47.6,T2=23.3,H2=29.7,V=4.13
time=12.52,T1=6.7,H1=48.0,T2=23.3,H2=29.7,V=4.13
time=12.56,T1=6.4,H1=47.6,T2=23.3,H2=29.7,V=4.13
time=12.61,T1=6.7,H1=47.9,T2=23.3,H2=29.7,V=4.13
time=12.65,T1=6.4,H1=47.6,T2=23.3,H2=29.7,V=4.13
time=12.69,T1=6.7,H1=47.9,T2=23.3,H2=29.7,V=4.13
time=12.74,T1=6.4,H1=47.7,T2=23.3,H2=29.7,V=4.13
time=12.78,T1=6.5,H1=47.8,T2=23.3,H2=29.7,V=4.13
time=12.83,T1=6.3,H1=47.6,T2=23.3,H2=29.7,V=4.13
time=12.87,T1=6.4,H1=47.7,T2=23.3,H2=29.8,V=4.13
time=12.91,T1=6.5,H1=47.8,T2=23.3,H2=29.8,V=4.13
time=12.96,T1=6.3,H1=47.6,T2=23.3,H2=29.8,V=4.13
time=13.00,T1=6.3,H1=47.6,T2=23.3,H2=29.8,V=4.13
time=13.04,T1=6.3,H1=47.6,T2=23.3,H2=29.8,V=4.13
time=13.09,T1=6.3,H1=47.6,T2=23.3,H2=29.8,V=4.13
time=13.13,T1=6.3,H1=47.6,T2=23.2,H2=29.7,V=4.13
time=13.18,T1=6.3,H1=47.6,T2=23.3,H2=29.8,V=4.13
time=13.22,T1=6.4,H1=47.6,T2=23.2,H2=29.7,V=4.13
time=13.26,T1=6.5,H1=47.8,T2=23.2,H2=29.7,V=4.13
time=13.31,T1=6.4,H1=47.6,T2=23.2,H2=29.8,V=4.13
time=13.35,T1=6.3,H1=47.6,T2=23.3,H2=29.9,V=4.13
time=13.40,T1=6.3,H1=46.9,T2=23.3,H2=29.8,V=4.13
time=13.44,T1=6.4,H1=47.7,T2=23.2,H2=29.7,V=4.13
time=13.48,T1=6.4,H1=47.7,T2=23.2,H2=29.7,V=4.13
time=13.53,T1=6.5,H1=47.8,T2=23.3,H2=29.8,V=4.13
time=13.57,T1=6.4,H1=47.7,T2=23.2,H2=29.8,V=4.13
time=13.62,T1=6.5,H1=47.8,T2=23.2,H2=29.8,V=4.13
time=13.66,T1=6.4,H1=47.7,T2=23.2,H2=29.8,V=4.13
time=13.70,T1=6.5,H1=47.8,T2=23.2,H2=29.8,V=4.13
time=13.75,T1=6.4,H1=47.7,T2=23.2,H2=29.9,V=4.13
time=13.79,T1=6.4,H1=47.7,T2=23.2,H2=29.8,V=4.13
time=13.84,T1=6.5,H1=47.8,T2=23.2,H2=29.8,V=4.13
time=13.88,T1=6.4,H1=47.6,T2=23.2,H2=29.8,V=4.13
time=13.92,T1=6.6,H1=47.8,T2=23.2,H2=29.9,V=4.13
13.97,T1=6.6,H1=47.8,T2=23.2,H2=29.9,V=4.13
time=14.01,T1=6.7,H1=47.9,T2=23.2,H2=29.9,V=4.13
14.06,T1=6.4,H1=47.5,T2=23.2,H2=29.9,V=4.13
time=14.10,T1=6.7,H1=47.8,T2=23.2,H2=29.9,V=4.13
time=14.14,T1=6.4,H1=47.5,T2=23.2,H2=29.9,V=4.13
time=14.19,T1=6.6,H1=47.6,T2=23.2,H2=30.0,V=4.13
time=14.23,T1=6.4,H1=47.4,T2=23.2,H2=30.0,V=4.13
time=14.28,T1=6.3,H1=47.3,T2=23.2,H2=30.0,V=4.13
time=14.32,T1=6.3,H1=47.3,T2=23.2,H2=30.0,V=4.13
time=14.36,T1=6.7,H1=47.6,T2=23.1,H2=29.9,V=4.13
time=14.41,T1=6.4,H1=47.3,T2=23.2,H2=30.0,V=4.13
time=14.45,T1=6.4,H1=47.3,T2=23.2,H2=30.0,V=4.13
time=14.49,T1=6.4,H1=47.3,T2=23.2,H2=30.0,V=4.13
time=14.54,T1=6.4,H1=47.3,T2=23.2,H2=30.0,V=4.13
time=14.58,T1=6.3,H1=47.2,T2=23.2,H2=30.0,V=4.13
time=14.63,T1=6.4,H1=47.3,T2=23.2,H2=30.0,V=4.13
time=14.67,T1=6.4,H1=47.2,T2=23.2,H2=30.0,V=4.13
time=14.71,T1=6.4,H1=47.3,T2=23.2,H2=30.0,V=4.13
.76,T1=6.4,H1=47.3,T2=23.2,H2=30.0,V=4.13
time=14.80,T1=6.4,H1=47.3,T2=23.2,H2=30.0,V=4.13
time=14.85,T1=6.4,H1=47.3,T2=23.2,H2=30.0,V=4.13
time=14.89,T1=6.4,H1=47.3,T2=23.2,H2=30.0,V=4.13
time=14.93,T1=6.4,H1=47.3,T2=23.2,H2=30.0,V=4.13
time=14.98,T1=6.4,H1=47.3,T2=23.1,H2=30.0,V=4.13
time=15.02,T1=6.4,H1=47.3,T2=23.2,H2=30.0,V=4.13
time=15.07,T1=6.4,H1=47.3,T2=23.1,H2=30.0,V=4.13
time=15.11,T1=6.4,H1=47.4,T2=23.1,H2=30.0,V=4.13
time=15.20,T1=6.4,H1=47.5,T2=23.1,H2=30.0,V=4.13
time=15.24,T1=6.7,H1=47.8,T2=23.2,H2=30.0,V=4.13
time=15.29,T1=6.4,H1=47.6,T2=23.2,H2=30.0,V=4.13
time=15.33,T1=6.3,H1=47.6,T2=23.2,H2=30.0,V=4.13
time=15.37,T1=6.4,H1=47.7,T2=23.1,H2=30.0,V=4.13
time=15.42,T1=6.5,H1=47.8,T2=23.1,H2=30.0,V=4.13
time=15.46,T1=6.4,H1=47.8,T2=23.1,H2=30.0,V=4.13
time=15.51,T1=6.4,H1=47.8,T2=23.1,H2=30.0,V=4.13
time=15.55,T1=6.4,H1=47.8,T2=23.1,H2=30.0,V=4.13
time=15.59,T1=6.4,H1=47.8,T2=23.1,H2=30.0,V=4.13
time=15.64,T1=6.4,H1=47.9,T2=23.1,H2=30.0,V=4.13
time=15.68,T1=6.3,H1=47.8,T2=23.1,H2=30.0,V=4.13
